epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,6959.79,0.43717,1.28234,0.34334,1.04434,0,0.97685,0.9368,0.95643,0.7904,0.97107,0.93161,0.94494,0.69049,0.73404,1.89083,0.341,0.80388,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8122.53,0.42964,1.26553,0.33796,1.03815,0,0.97853,0.93154,0.95252,0.79107,0.97264,0.92692,0.94446,0.68904,0.71901,1.9143,0.32797,0.79017,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9287.12,0.43049,1.30424,0.34633,1.03483,0,0.97867,0.93372,0.95534,0.79612,0.97285,0.92817,0.94419,0.69501,0.72112,1.81466,0.3333,0.78754,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10446.4,0.44982,1.3283,0.35696,1.05191,0,0.98332,0.92724,0.95224,0.79949,0.97744,0.92169,0.94257,0.70428,0.72319,1.76819,0.34644,0.77049,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1166.38,0.41948,1.23526,0.3328,1.02589,0,0.976,0.93617,0.95426,0.79075,0.97118,0.93154,0.9464,0.69009,0.73229,1.88227,0.35367,0.80756,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2334.55,0.40971,1.16566,0.32166,1.02313,0,0.98273,0.92137,0.95261,0.79373,0.97779,0.91674,0.94297,0.69402,0.72248,1.867,0.34669,0.79885,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3503.59,0.40622,1.16737,0.31775,1.02097,0,0.97672,0.93142,0.95611,0.799,0.97187,0.9268,0.94443,0.69602,0.74837,1.94778,0.37114,0.81554,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4668.73,0.40269,1.15127,0.30563,1.01787,0,0.989,0.91952,0.95437,0.79447,0.98404,0.91244,0.94405,0.69419,0.74804,1.88908,0.36029,0.81955,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1141.16,0.38568,1.05839,0.28622,0.99983,0,0.9777,0.93154,0.95369,0.7971,0.97382,0.92784,0.94746,0.69726,0.72425,2.00902,0.34935,0.81722,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2288.97,0.3744,1.0225,0.2841,0.99598,0,0.98212,0.92599,0.95364,0.7986,0.97779,0.92229,0.94521,0.69394,0.7143,2.07726,0.34134,0.8202,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3440.87,0.37274,1.0101,0.27933,0.99409,0,0.9806,0.92599,0.95146,0.78523,0.97851,0.92647,0.94429,0.68086,0.75547,2.15469,0.3775,0.84487,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
